x,y,z,status
-9168,-697,12587,1
-9291,-724,12595,1
-9226,-883,12629,1
-9153,-684,12579,1
-9230,-716,12627,1
-9286,-874,12641,1
-9103,-672,12630,1
-9295,-768,12581,1
-9260,-862,12595,1
-9149,-704,12612,1
-9298,-790,12600,1
-9255,-899,12601,1
-9104,-641,12632,1
-9330,-816,12543,1
-9249,-854,12614,1
-9110,-636,12641,1
-9353,-816,12613,1
-9201,-848,12629,1
-9141,-647,12679,1
-9318,-830,12599,1
-9226,-834,12607,1
-9108,-652,12611,1
-9364,-854,12555,1
-9208,-831,12601,1
-9149,-644,12632,1
-9327,-831,12589,1
-9223,-804,12571,1
-9093,-636,12689,1
-9328,-860,12591,1
-9126,-767,12608,1
-9188,-680,12626,1
-9268,-886,12650,1
-9182,-798,12588,1
-9150,-675,12655,1
-9324,-939,12574,1
-9154,-743,12610,1
-9196,-668,12622,1
-9260,-910,12627,1
-9172,-724,12639,1
-9235,-672,12645,1
-9242,-906,12640,1
-9153,-716,12591,1
-9219,-706,12595,1
-9285,-911,12628,1
-9120,-702,12632,1
-9286,-719,12573,1
-9236,-900,12644,1
-9146,-678,12645,1
-9239,-744,12643,1
-9280,-893,12618,1
-9102,-674,12697,1
-9316,-803,12599,1
-9219,-883,12648,1
-9152,-672,12645,1
-9317,-813,12602,1
-9301,-882,12591,1
-9101,-632,12657,1
-9355,-803,12583,1
-9224,-840,12614,1
-9102,-651,12648,1
-9325,-822,12584,1
-9199,-852,12577,1
-9166,-642,12626,1
-9316,-836,12621,1
-9224,-830,12584,1
-9100,-656,12644,1
-9392,-861,12557,1
-9163,-810,12609,1
-9150,-632,12684,1
-9292,-852,12575,1
-9192,-809,12576,1
-9140,-632,12670,1
-9310,-874,12558,1
-9130,-765,12636,1
-9177,-665,12625,1
-9295,-877,12664,1
-9207,-779,12544,1
-9169,-668,12640,1
-9313,-927,12591,1
-9121,-687,12629,1
-9198,-675,12642,1
-9205,-911,12617,1
-9154,-699,12607,1
-9250,-706,12625,1
-9246,-886,12648,1
-9181,-708,12625,1
-9256,-698,12624,1
-9300,-916,12618,1
-9107,-688,12648,1
-9289,-730,12594,1
-9241,-906,12684,1
-9149,-657,12622,1
-9231,-744,12644,1
-9288,-910,12547,1
-9075,-650,12673,1
-9348,-791,12578,1
-9213,-879,12674,1
-9154,-664,12587,1
-9294,-773,12589,1
-9277,-873,12616,1
-9083,-636,12680,1
-9354,-778,12594,1
-9206,-843,12657,1
-9136,-644,12678,1
-9335,-815,12573,1
-9223,-839,12581,1
-9145,-629,12680,1
-9369,-837,12594,1
-9234,-835,12590,1
-9147,-643,12661,1
-9392,-839,12615,1
-9156,-810,12653,1
-9158,-617,12635,1
-9278,-857,12603,1
-9173,-787,12615,1
-9094,-657,12688,1
-9312,-906,12576,1
-9107,-764,12598,1
-9198,-686,12657,1
-9285,-877,12597,1
-9185,-793,12586,1
-9170,-675,12648,1
-9287,-920,12623,1
-9137,-717,12635,1
-9182,-655,12649,1
-9206,-914,12627,1
-9120,-747,12570,1
-9214,-696,12625,1
-9210,-900,12617,1
-9167,-710,12612,1
-9251,-738,12585,1
-9310,-919,12639,1
-9112,-686,12629,1
-9285,-750,12615,1
-9197,-891,12600,1
-9154,-698,12618,1
-9250,-753,12640,1
-9279,-930,12595,1
-9113,-645,12651,1
-9321,-798,12603,1
-9239,-880,12611,1
-9140,-668,12584,1
-9331,-793,12577,1
-9268,-877,12569,1
-9085,-641,12680,1
-9342,-790,12583,1
-9207,-853,12628,1
-9118,-658,12637,1
-9321,-832,12579,1
-9227,-826,12587,1
-9126,-647,12613,1
-9352,-852,12565,1
-9220,-824,12568,1
-9129,-644,12644,1
-9355,-845,12598,1
-9130,-773,12680,1
-9156,-613,12639,1
-9263,-872,12614,1
-9173,-795,12600,1
-9144,-671,12656,1
-9328,-901,12585,1
-9116,-785,12614,1
-9186,-695,12631,1
-9261,-886,12600,1
-9192,-735,12588,1
-9157,-676,12678,1
-9249,-930,12605,1
-9144,-724,12625,1
-9256,-695,12620,1
-9215,-861,12633,1
-9181,-744,12579,1
-9234,-708,12646,1
-9264,-927,12599,1
-9193,-643,12626,1
-9274,-726,12620,1
-9291,-887,12610,1
-9111,-671,12635,1
-9296,-742,12644,1
