18:13:30:704 -> X -6265;Y 1929;Z 7664
18:13:30:725 -> X -7789;Y -2653;Z 18189
18:13:30:745 -> X -14700;Y -1722;Z 11869
18:13:30:764 -> X -7944;Y 1881;Z 6919
18:13:30:785 -> X -6630;Y -2086;Z 17521
18:13:30:805 -> X -14080;Y -2361;Z 13605
18:13:30:824 -> X -9696;Y 1784;Z 6167
18:13:30:845 -> X -5472;Y -1334;Z 16488
18:13:30:865 -> X -13336;Y -2874;Z 15201
18:13:30:885 -> X -11514;Y 1422;Z 5963
18:13:30:904 -> X -4506;Y -550;Z 14985
18:13:30:925 -> X -12413;Y -3232;Z 16468
18:13:30:945 -> X -12931;Y 1202;Z 5836
18:13:30:965 -> X -4015;Y 300;Z 13158
18:13:30:985 -> X -11471;Y -3367;Z 17422
18:13:31:004 -> X -13938;Y 670;Z 6497
18:13:31:024 -> X -3998;Y 1030;Z 11220
18:13:31:045 -> X -10390;Y -3375;Z 18078
18:13:31:064 -> X -14621;Y 28;Z 7658
18:13:31:084 -> X -4681;Y 1534;Z 9478
18:13:31:105 -> X -9291;Y -3135;Z 18334
18:13:31:125 -> X -14936;Y -728;Z 9399
18:13:31:145 -> X -5774;Y 1887;Z 8054
18:13:31:165 -> X -8134;Y -2750;Z 18268
18:13:31:185 -> X -14765;Y -1502;Z 11352
18:13:31:205 -> X -7453;Y 1892;Z 7089
18:13:31:225 -> X -6910;Y -2193;Z 17739
18:13:31:245 -> X -14291;Y -2221;Z 13183
18:13:31:265 -> X -9344;Y 1807;Z 6256
18:13:31:285 -> X -5793;Y -1457;Z 16727
18:13:31:305 -> X -13459;Y -2782;Z 14919
18:13:31:325 -> X -11259;Y 1466;Z 5989
18:13:31:345 -> X -4707;Y -686;Z 15200
18:13:31:365 -> X -12584;Y -3177;Z 16245
18:13:31:385 -> X -12736;Y 1206;Z 5793
18:13:31:404 -> X -4136;Y 124;Z 13475
18:13:31:425 -> X -11553;Y -3329;Z 17298
18:13:31:445 -> X -13888;Y 776;Z 6374
18:13:31:465 -> X -4038;Y 877;Z 11621
18:13:31:485 -> X -10603;Y -3391;Z 17947
18:13:31:504 -> X -14483;Y 156;Z 7373
18:13:31:525 -> X -4581;Y 1478;Z 9848
18:13:31:545 -> X -9528;Y -3173;Z 18365
18:13:31:564 -> X -14868;Y -553;Z 8967
18:13:31:585 -> X -5607;Y 1781;Z 8472
18:13:31:605 -> X -8394;Y -2908;Z 18326
18:13:31:625 -> X -14819;Y -1241;Z 10762
18:13:31:644 -> X -6873;Y 1914;Z 7374
18:13:31:665 -> X -7331;Y -2403;Z 17997
18:13:31:685 -> X -14486;Y -1971;Z 12501
18:13:31:705 -> X -8546;Y 1830;Z 6554
18:13:31:725 -> X -6179;Y -1768;Z 17204
18:13:31:745 -> X -13841;Y -2529;Z 14158
18:13:31:765 -> X -10309;Y 1656;Z 6116
